♥J,♣J,♠8,♦A,♠10,(1) One pair
♠3,♠K,♣8,♥3,♥4,(1) One pair
♠3,♠K,♣8,♥3,♠10,(1) One pair
♠3,♠K,♣8,♥8,♠2,(1) One pair
♠3,♠K,♣8,♥8,♥4,(1) One pair
♠3,♠K,♣8,♥8,♠10,(1) One pair
♠3,♠K,♠8,♣4,♥3,(1) One pair
♠3,♠K,♠8,♣4,♥8,(1) One pair
♠3,♠K,♠8,♣4,♥4,(1) One pair
♠3,♠K,♠8,♠9,♥3,(1) One pair
♠3,♠K,♠8,♠9,♥8,(1) One pair
♣J,♠8,♦A,♥8,♠2,(1) One pair
♣J,♠8,♦A,♥3,♥8,(1) One pair
♠3,♠K,♠8,♦A,♥3,(1) One pair
♠3,♠K,♠8,♦A,♥8,(1) One pair
♣J,♠8,♠9,♥8,♠10,(1) One pair
♠3,♠K,♠8,♥3,♠2,(1) One pair
♠3,♠K,♠8,♥3,♥4,(1) One pair
♠3,♠K,♠8,♥3,♠10,(1) One pair
♠3,♠K,♠8,♥8,♠2,(1) One pair
♠3,♠K,♠8,♥8,♥4,(1) One pair
♠3,♠K,♠8,♥8,♠10,(1) One pair
♣J,♠8,♠9,♥8,♥4,(1) One pair
♠3,♠K,♣4,♠9,♥3,(1) One pair
♠3,♠K,♣4,♠9,♥4,(1) One pair
♠3,♠K,♣4,♦A,♥3,(1) One pair
♠3,♠K,♣4,♦A,♥4,(1) One pair
♠3,♠K,♣4,♥3,♥8,(1) One pair
♠3,♠K,♣4,♥3,♠2,(1) One pair
♣J,♠8,♠9,♥8,♠2,(1) One pair
♠3,♠K,♣4,♥3,♠10,(1) One pair
♠3,♠K,♣4,♥8,♥4,(1) One pair
♠3,♠K,♣4,♠2,♥4,(1) One pair
♠3,♠K,♣4,♥4,♠10,(1) One pair
♠3,♠K,♠9,♦A,♥3,(1) One pair
♠3,♠K,♠9,♥3,♥8,(1) One pair
♠3,♠K,♠9,♥3,♠2,(1) One pair
♠3,♠K,♠9,♥3,♥4,(1) One pair
♠3,♠K,♠9,♥3,♠10,(1) One pair
♣J,♠8,♠9,♥3,♥8,(1) One pair
♠3,♠K,♦A,♥3,♥8,(1) One pair
♠3,♠K,♦A,♥3,♠2,(1) One pair
♠3,♠K,♦A,♥3,♥4,(1) One pair
♠3,♠K,♦A,♥3,♠10,(1) One pair
♠3,♠K,♥3,♥8,♠2,(1) One pair
♠3,♠K,♥3,♥8,♥4,(1) One pair
♠3,♠K,♥3,♥8,♠10,(1) One pair
♠3,♠K,♥3,♠2,♥4,(1) One pair
♠3,♠K,♥3,♠2,♠10,(1) One pair
♠3,♠K,♥3,♥4,♠10,(1) One pair
♠3,♣J,♣8,♠8,♣4,(1) One pair
♠3,♣J,♣8,♠8,♠9,(1) One pair
♠3,♣J,♣8,♠8,♦A,(1) One pair
♣J,♠8,♠9,♦A,♥8,(1) One pair
♣J,♠8,♣4,♥4,♠10,(1) One pair
♠3,♣J,♣8,♠8,♠2,(1) One pair
♠3,♣J,♣8,♠8,♥4,(1) One pair
♠3,♣J,♣8,♠8,♠10,(1) One pair
♠3,♣J,♣8,♣4,♥3,(1) One pair
♠3,♣J,♣8,♣4,♥8,(1) One pair
♠3,♣J,♣8,♣4,♥4,(1) One pair
♠3,♣J,♣8,♠9,♥3,(1) One pair
♠3,♣J,♣8,♠9,♥8,(1) One pair
♠3,♣J,♣8,♦A,♥3,(1) One pair
♠3,♣J,♣8,♦A,♥8,(1) One pair
♣J,♠8,♣4,♠2,♥4,(1) One pair
♠3,♣J,♣8,♥3,♠2,(1) One pair
♠3,♣J,♣8,♥3,♥4,(1) One pair
♠3,♣J,♣8,♥3,♠10,(1) One pair
♠3,♣J,♣8,♥8,♠2,(1) One pair
♠3,♣J,♣8,♥8,♥4,(1) One pair
♠3,♣J,♣8,♥8,♠10,(1) One pair
♠3,♣J,♠8,♣4,♥3,(1) One pair
♠3,♣J,♠8,♣4,♥8,(1) One pair
♠3,♣J,♠8,♣4,♥4,(1) One pair
♠3,♣J,♠8,♠9,♥3,(1) One pair
♠3,♣J,♠8,♠9,♥8,(1) One pair
♠3,♣J,♠8,♦A,♥3,(1) One pair
♠3,♣J,♠8,♦A,♥8,(1) One pair
♣J,♠8,♣4,♥8,♠10,(1) One pair
♠3,♣J,♠8,♥3,♠2,(1) One pair
♠3,♣J,♠8,♥3,♥4,(1) One pair
♠3,♣J,♠8,♥3,♠10,(1) One pair
♠3,♣J,♠8,♥8,♠2,(1) One pair
♠3,♣J,♠8,♥8,♥4,(1) One pair
♠3,♣J,♠8,♥8,♠10,(1) One pair
♠3,♣J,♣4,♠9,♥3,(1) One pair
♠3,♣J,♣4,♠9,♥4,(1) One pair
♠3,♣J,♣4,♦A,♥3,(1) One pair
♠3,♣J,♣4,♦A,♥4,(1) One pair
♠3,♣J,♣4,♥3,♥8,(1) One pair
♠3,♣J,♣4,♥3,♠2,(1) One pair
♣J,♠8,♣4,♥8,♠2,(1) One pair
♠3,♣J,♣4,♥3,♠10,(1) One pair
♠3,♣J,♣4,♥8,♥4,(1) One pair
♠3,♣J,♣4,♠2,♥4,(1) One pair
♠3,♣J,♣4,♥4,♠10,(1) One pair
♠3,♣J,♠9,♦A,♥3,(1) One pair
♠3,♣J,♠9,♥3,♥8,(1) One pair
♠3,♣J,♠9,♥3,♠2,(1) One pair
♠3,♣J,♠9,♥3,♥4,(1) One pair
♠3,♣J,♠9,♥3,♠10,(1) One pair
♠3,♣J,♦A,♥3,♥8,(1) One pair
♠3,♣J,♦A,♥3,♠2,(1) One pair
♠3,♣J,♦A,♥3,♥4,(1) One pair
♠3,♣J,♦A,♥3,♠10,(1) One pair
♠3,♣J,♥3,♥8,♠2,(1) One pair
♠3,♣J,♥3,♥8,♥4,(1) One pair
♠3,♣J,♥3,♥8,♠10,(1) One pair
♠3,♣J,♥3,♠2,♥4,(1) One pair
♠3,♣J,♥3,♠2,♠10,(1) One pair
♠3,♣J,♥3,♥4,♠10,(1) One pair
♠3,♣8,♠8,♣4,♠9,(1) One pair
♠3,♣8,♠8,♣4,♦A,(1) One pair
♣J,♠8,♣4,♥3,♥4,(1) One pair
♣J,♠8,♣4,♥3,♥8,(1) One pair
♠3,♣8,♠8,♣4,♠2,(1) One pair
♣J,♠8,♣4,♦A,♥4,(1) One pair
♠3,♣8,♠8,♣4,♠10,(1) One pair
♠3,♣8,♠8,♠9,♦A,(1) One pair
♣J,♠8,♣4,♦A,♥8,(1) One pair
♣J,♠8,♣4,♠9,♥4,(1) One pair
♠3,♣8,♠8,♠9,♠2,(1) One pair
♠3,♣8,♠8,♠9,♥4,(1) One pair
♠3,♣8,♠8,♠9,♠10,(1) One pair
♣J,♠8,♣4,♠9,♥8,(1) One pair
♣J,♣8,♥8,♥4,♠10,(1) One pair
♠3,♣8,♠8,♦A,♠2,(1) One pair
♠3,♣8,♠8,♦A,♥4,(1) One pair
♠3,♣8,♠8,♦A,♠10,(1) One pair
♣J,♣8,♥8,♠2,♠10,(1) One pair
♣J,♣8,♥8,♠2,♥4,(1) One pair
♣J,♣8,♥3,♥8,♠10,(1) One pair
♣J,♣8,♥3,♥8,♥4,(1) One pair
♣J,♣8,♥3,♥8,♠2,(1) One pair
♣J,♣8,♦A,♥8,♠10,(1) One pair
♣J,♣8,♦A,♥8,♥4,(1) One pair
♠3,♣8,♠8,♠2,♥4,(1) One pair
♠3,♣8,♠8,♠2,♠10,(1) One pair
♠3,♣8,♠8,♥4,♠10,(1) One pair
♠3,♣8,♣4,♠9,♥3,(1) One pair
♠3,♣8,♣4,♠9,♥8,(1) One pair
♠3,♣8,♣4,♠9,♥4,(1) One pair
♠3,♣8,♣4,♦A,♥3,(1) One pair
♠3,♣8,♣4,♦A,♥8,(1) One pair
♠3,♣8,♣4,♦A,♥4,(1) One pair
♣J,♣8,♦A,♥8,♠2,(1) One pair
♠3,♣8,♣4,♥3,♠2,(1) One pair
♣J,♣8,♦A,♥3,♥8,(1) One pair
♠3,♣8,♣4,♥3,♠10,(1) One pair
♠3,♣8,♣4,♥8,♠2,(1) One pair
♣J,♣8,♠9,♥8,♠10,(1) One pair
♠3,♣8,♣4,♥8,♠10,(1) One pair
♠3,♣8,♣4,♠2,♥4,(1) One pair
♠3,♣8,♣4,♥4,♠10,(1) One pair
♠3,♣8,♠9,♦A,♥3,(1) One pair
♠3,♣8,♠9,♦A,♥8,(1) One pair
♣J,♣8,♠9,♥8,♥4,(1) One pair
♠3,♣8,♠9,♥3,♠2,(1) One pair
♠3,♣8,♠9,♥3,♥4,(1) One pair
♠3,♣8,♠9,♥3,♠10,(1) One pair
♠3,♣8,♠9,♥8,♠2,(1) One pair
♠3,♣8,♠9,♥8,♥4,(1) One pair
♠3,♣8,♠9,♥8,♠10,(1) One pair
♣J,♣8,♠9,♥8,♠2,(1) One pair
♠3,♣8,♦A,♥3,♠2,(1) One pair
♠3,♣8,♦A,♥3,♥4,(1) One pair
♠3,♣8,♦A,♥3,♠10,(1) One pair
♠3,♣8,♦A,♥8,♠2,(1) One pair
♠3,♣8,♦A,♥8,♥4,(1) One pair
♠3,♣8,♦A,♥8,♠10,(1) One pair
♣J,♣8,♠9,♥3,♥8,(1) One pair
♣J,♣8,♠9,♦A,♥8,(1) One pair
♣J,♣8,♣4,♥4,♠10,(1) One pair
♠3,♣8,♥3,♠2,♥4,(1) One pair
♠3,♣8,♥3,♠2,♠10,(1) One pair
♠3,♣8,♥3,♥4,♠10,(1) One pair
♠3,♣8,♥8,♠2,♥4,(1) One pair
♠3,♣8,♥8,♠2,♠10,(1) One pair
♠3,♣8,♥8,♥4,♠10,(1) One pair
♠3,♠8,♣4,♠9,♥3,(1) One pair
♠3,♠8,♣4,♠9,♥8,(1) One pair
♠3,♠8,♣4,♠9,♥4,(1) One pair
♠3,♠8,♣4,♦A,♥3,(1) One pair
♠3,♠8,♣4,♦A,♥8,(1) One pair
♠3,♠8,♣4,♦A,♥4,(1) One pair
♣J,♣8,♣4,♠2,♥4,(1) One pair
♠3,♠8,♣4,♥3,♠2,(1) One pair
♣J,♣8,♣4,♥8,♠10,(1) One pair
♠3,♠8,♣4,♥3,♠10,(1) One pair
♠3,♠8,♣4,♥8,♠2,(1) One pair
♣J,♣8,♣4,♥8,♠2,(1) One pair
♠3,♠8,♣4,♥8,♠10,(1) One pair
♠3,♠8,♣4,♠2,♥4,(1) One pair
♠3,♠8,♣4,♥4,♠10,(1) One pair
♠3,♠8,♠9,♦A,♥3,(1) One pair
♠3,♠8,♠9,♦A,♥8,(1) One pair
♣J,♣8,♣4,♥3,♥4,(1) One pair
♠3,♠8,♠9,♥3,♠2,(1) One pair
♠3,♠8,♠9,♥3,♥4,(1) One pair
♠3,♠8,♠9,♥3,♠10,(1) One pair
♠3,♠8,♠9,♥8,♠2,(1) One pair
♠3,♠8,♠9,♥8,♥4,(1) One pair
♠3,♠8,♠9,♥8,♠10,(1) One pair
♣J,♣8,♣4,♥3,♥8,(1) One pair
♣J,♣8,♣4,♦A,♥4,(1) One pair
♠3,♠8,♦A,♥3,♠2,(1) One pair
♠3,♠8,♦A,♥3,♥4,(1) One pair
♠3,♠8,♦A,♥3,♠10,(1) One pair
♠3,♠8,♦A,♥8,♠2,(1) One pair
♠3,♠8,♦A,♥8,♥4,(1) One pair
♠3,♠8,♦A,♥8,♠10,(1) One pair
♣J,♣8,♣4,♦A,♥8,(1) One pair
♣J,♣8,♣4,♠9,♥4,(1) One pair
♣J,♣8,♣4,♠9,♥8,(1) One pair
♠3,♠8,♥3,♠2,♥4,(1) One pair
♠3,♠8,♥3,♠2,♠10,(1) One pair
♠3,♠8,♥3,♥4,♠10,(1) One pair
♠3,♠8,♥8,♠2,♥4,(1) One pair
♠3,♠8,♥8,♠2,♠10,(1) One pair
♠3,♠8,♥8,♥4,♠10,(1) One pair
♠3,♣4,♠9,♦A,♥3,(1) One pair
♠3,♣4,♠9,♦A,♥4,(1) One pair
♠3,♣4,♠9,♥3,♥8,(1) One pair
♠3,♣4,♠9,♥3,♠2,(1) One pair
♣J,♣8,♠8,♥4,♠10,(1) One pair
♠3,♣4,♠9,♥3,♠10,(1) One pair
♠3,♣4,♠9,♥8,♥4,(1) One pair
♠3,♣4,♠9,♠2,♥4,(1) One pair
♠3,♣4,♠9,♥4,♠10,(1) One pair
♠3,♣4,♦A,♥3,♥8,(1) One pair
♦K,♥J,♠3,♠K,♣8,(1) One pair
♣J,♣8,♠8,♠2,♠10,(1) One pair
♠3,♣4,♦A,♥3,♠10,(1) One pair
♠3,♣4,♦A,♥8,♥4,(1) One pair
♠3,♣4,♦A,♠2,♥4,(1) One pair
♠3,♣4,♦A,♥4,♠10,(1) One pair
♠3,♣4,♥3,♥8,♠2,(1) One pair
♣J,♣8,♠8,♠2,♥4,(1) One pair
♠3,♣4,♥3,♥8,♠10,(1) One pair
♣J,♣8,♠8,♥3,♠10,(1) One pair
♠3,♣4,♥3,♠2,♠10,(1) One pair
♣J,♣8,♠8,♥3,♥4,(1) One pair
♠3,♣4,♥8,♠2,♥4,(1) One pair
♠3,♣4,♥8,♥4,♠10,(1) One pair
♠3,♣4,♠2,♥4,♠10,(1) One pair
♠3,♠9,♦A,♥3,♥8,(1) One pair
♠3,♠9,♦A,♥3,♠2,(1) One pair
♠3,♠9,♦A,♥3,♥4,(1) One pair
♠3,♠9,♦A,♥3,♠10,(1) One pair
♠3,♠9,♥3,♥8,♠2,(1) One pair
♠3,♠9,♥3,♥8,♥4,(1) One pair
♠3,♠9,♥3,♥8,♠10,(1) One pair
♠3,♠9,♥3,♠2,♥4,(1) One pair
♠3,♠9,♥3,♠2,♠10,(1) One pair
♠3,♠9,♥3,♥4,♠10,(1) One pair
♠3,♦A,♥3,♥8,♠2,(1) One pair
♠3,♦A,♥3,♥8,♥4,(1) One pair
♠3,♦A,♥3,♥8,♠10,(1) One pair
♠3,♦A,♥3,♠2,♥4,(1) One pair
♠3,♦A,♥3,♠2,♠10,(1) One pair
♠3,♦A,♥3,♥4,♠10,(1) One pair
♠3,♥3,♥8,♠2,♥4,(1) One pair
♠3,♥3,♥8,♠2,♠10,(1) One pair
♠3,♥3,♥8,♥4,♠10,(1) One pair
♠3,♥3,♠2,♥4,♠10,(1) One pair
♠K,♣J,♣8,♠8,♣4,(1) One pair
♠K,♣J,♣8,♠8,♠9,(1) One pair
♠K,♣J,♣8,♠8,♦A,(1) One pair
♠K,♣J,♣8,♠8,♥3,(1) One pair
♣J,♣8,♠8,♥3,♠2,(1) One pair
♠K,♣J,♣8,♠8,♠2,(1) One pair
♠K,♣J,♣8,♠8,♥4,(1) One pair
♠K,♣J,♣8,♠8,♠10,(1) One pair
♠K,♣J,♣8,♣4,♥8,(1) One pair
♠K,♣J,♣8,♣4,♥4,(1) One pair
♠K,♣J,♣8,♠9,♥8,(1) One pair
♠K,♣J,♣8,♦A,♥8,(1) One pair
♠K,♣J,♣8,♥3,♥8,(1) One pair
♠K,♣J,♣8,♥8,♠2,(1) One pair
♠K,♣J,♣8,♥8,♥4,(1) One pair
♠K,♣J,♣8,♥8,♠10,(1) One pair
♠K,♣J,♠8,♣4,♥8,(1) One pair
♠K,♣J,♠8,♣4,♥4,(1) One pair
♠K,♣J,♠8,♠9,♥8,(1) One pair
♠K,♣J,♠8,♦A,♥8,(1) One pair
♠K,♣J,♠8,♥3,♥8,(1) One pair
♠K,♣J,♠8,♥8,♠2,(1) One pair
♠K,♣J,♠8,♥8,♥4,(1) One pair
♠K,♣J,♠8,♥8,♠10,(1) One pair
♠K,♣J,♣4,♠9,♥4,(1) One pair
♠K,♣J,♣4,♦A,♥4,(1) One pair
♠K,♣J,♣4,♥3,♥4,(1) One pair
♠K,♣J,♣4,♥8,♥4,(1) One pair
♠K,♣J,♣4,♠2,♥4,(1) One pair
♠K,♣J,♣4,♥4,♠10,(1) One pair
♠K,♣8,♠8,♣4,♠9,(1) One pair
♠K,♣8,♠8,♣4,♦A,(1) One pair
♠K,♣8,♠8,♣4,♥3,(1) One pair
♣J,♣8,♠8,♦A,♠10,(1) One pair
♠K,♣8,♠8,♣4,♠2,(1) One pair
♣J,♣8,♠8,♦A,♥4,(1) One pair
♠K,♣8,♠8,♣4,♠10,(1) One pair
♠K,♣8,♠8,♠9,♦A,(1) One pair
♠K,♣8,♠8,♠9,♥3,(1) One pair
♣J,♣8,♠8,♦A,♠2,(1) One pair
♠K,♣8,♠8,♠9,♠2,(1) One pair
♠K,♣8,♠8,♠9,♥4,(1) One pair
♠K,♣8,♠8,♠9,♠10,(1) One pair
♠K,♣8,♠8,♦A,♥3,(1) One pair
♣J,♣8,♠8,♦A,♥3,(1) One pair
♠K,♣8,♠8,♦A,♠2,(1) One pair
♠K,♣8,♠8,♦A,♥4,(1) One pair
♠K,♣8,♠8,♦A,♠10,(1) One pair
♣J,♣8,♠8,♠9,♠10,(1) One pair
♠K,♣8,♠8,♥3,♠2,(1) One pair
♠K,♣8,♠8,♥3,♥4,(1) One pair
♠K,♣8,♠8,♥3,♠10,(1) One pair
♣J,♣8,♠8,♠9,♥4,(1) One pair
♣J,♣8,♠8,♠9,♠2,(1) One pair
♣J,♣8,♠8,♠9,♥3,(1) One pair
♠K,♣8,♠8,♠2,♥4,(1) One pair
♠K,♣8,♠8,♠2,♠10,(1) One pair
♠K,♣8,♠8,♥4,♠10,(1) One pair
♠K,♣8,♣4,♠9,♥8,(1) One pair
♠K,♣8,♣4,♠9,♥4,(1) One pair
♠K,♣8,♣4,♦A,♥8,(1) One pair
♠K,♣8,♣4,♦A,♥4,(1) One pair
♠K,♣8,♣4,♥3,♥8,(1) One pair
♠K,♣8,♣4,♥3,♥4,(1) One pair
♠K,♣8,♣4,♥8,♠2,(1) One pair
♣J,♣8,♠8,♠9,♦A,(1) One pair
♠K,♣8,♣4,♥8,♠10,(1) One pair
♠K,♣8,♣4,♠2,♥4,(1) One pair
♠K,♣8,♣4,♥4,♠10,(1) One pair
♠K,♣8,♠9,♦A,♥8,(1) One pair
♠K,♣8,♠9,♥3,♥8,(1) One pair
♠K,♣8,♠9,♥8,♠2,(1) One pair
♠K,♣8,♠9,♥8,♥4,(1) One pair
♠K,♣8,♠9,♥8,♠10,(1) One pair
♠K,♣8,♦A,♥3,♥8,(1) One pair
♠K,♣8,♦A,♥8,♠2,(1) One pair
♠K,♣8,♦A,♥8,♥4,(1) One pair
♠K,♣8,♦A,♥8,♠10,(1) One pair
♠K,♣8,♥3,♥8,♠2,(1) One pair
♠K,♣8,♥3,♥8,♥4,(1) One pair
♠K,♣8,♥3,♥8,♠10,(1) One pair
♠K,♣8,♥8,♠2,♥4,(1) One pair
♠K,♣8,♥8,♠2,♠10,(1) One pair
♠K,♣8,♥8,♥4,♠10,(1) One pair
♠K,♠8,♣4,♠9,♥8,(1) One pair
♠K,♠8,♣4,♠9,♥4,(1) One pair
♠K,♠8,♣4,♦A,♥8,(1) One pair
♠K,♠8,♣4,♦A,♥4,(1) One pair
♠K,♠8,♣4,♥3,♥8,(1) One pair
♠K,♠8,♣4,♥3,♥4,(1) One pair
♠K,♠8,♣4,♥8,♠2,(1) One pair
♣J,♣8,♠8,♣4,♠10,(1) One pair
♠K,♠8,♣4,♥8,♠10,(1) One pair
♠K,♠8,♣4,♠2,♥4,(1) One pair
♠K,♠8,♣4,♥4,♠10,(1) One pair
♠K,♠8,♠9,♦A,♥8,(1) One pair
♠K,♠8,♠9,♥3,♥8,(1) One pair
♠K,♠8,♠9,♥8,♠2,(1) One pair
♠K,♠8,♠9,♥8,♥4,(1) One pair
♠K,♠8,♠9,♥8,♠10,(1) One pair
♣J,♣8,♠8,♣4,♠2,(1) One pair
♠K,♠8,♦A,♥3,♥8,(1) One pair
♠K,♠8,♦A,♥8,♠2,(1) One pair
♠K,♠8,♦A,♥8,♥4,(1) One pair
♠K,♠8,♦A,♥8,♠10,(1) One pair
♠K,♠8,♥3,♥8,♠2,(1) One pair
♠K,♠8,♥3,♥8,♥4,(1) One pair
♠K,♠8,♥3,♥8,♠10,(1) One pair
♠K,♠8,♥8,♠2,♥4,(1) One pair
♠K,♠8,♥8,♠2,♠10,(1) One pair
♠K,♠8,♥8,♥4,♠10,(1) One pair
♠K,♣4,♠9,♦A,♥4,(1) One pair
♠K,♣4,♠9,♥3,♥4,(1) One pair
♠K,♣4,♠9,♥8,♥4,(1) One pair
♠K,♣4,♠9,♠2,♥4,(1) One pair
♠K,♣4,♠9,♥4,♠10,(1) One pair
♠K,♣4,♦A,♥3,♥4,(1) One pair
♠K,♣4,♦A,♥8,♥4,(1) One pair
♠K,♣4,♦A,♠2,♥4,(1) One pair
♠K,♣4,♦A,♥4,♠10,(1) One pair
♠K,♣4,♥3,♥8,♥4,(1) One pair
♠K,♣4,♥3,♠2,♥4,(1) One pair
♠K,♣4,♥3,♥4,♠10,(1) One pair
♠K,♣4,♥8,♠2,♥4,(1) One pair
♠K,♣4,♥8,♥4,♠10,(1) One pair
♠K,♣4,♠2,♥4,♠10,(1) One pair
♣J,♣8,♠8,♣4,♠9,(1) One pair
♣J,♣8,♠8,♣4,♦A,(1) One pair
♣J,♣8,♠8,♣4,♥3,(1) One pair
♦K,♠K,♣8,♥8,♠10,(2) Two pairs
♦K,♠K,♣8,♥8,♠2,(2) Two pairs
♣J,♣8,♠8,♣4,♥4,(2) Two pairs
♠K,♠8,♣4,♥8,♥4,(2) Two pairs
♠K,♣8,♣4,♥8,♥4,(2) Two pairs
♦K,♥J,♠3,♠K,♥3,(2) Two pairs
♦K,♥J,♠3,♣J,♥3,(2) Two pairs
♥J,♣J,♠8,♥3,♥8,(2) Two pairs
♦K,♥J,♠K,♣J,♣8,(2) Two pairs
♦K,♥J,♠K,♣J,♠8,(2) Two pairs
♦K,♥J,♠K,♣J,♣4,(2) Two pairs
♦K,♥J,♠K,♣J,♠9,(2) Two pairs
♦K,♥J,♠K,♣J,♦A,(2) Two pairs
♠K,♣8,♠8,♣4,♥4,(2) Two pairs
♦K,♥J,♠K,♣J,♥3,(2) Two pairs
♦K,♥J,♠K,♣J,♥8,(2) Two pairs
♥J,♠3,♣4,♥3,♥4,(2) Two pairs
♦K,♥J,♠K,♣J,♠2,(2) Two pairs
♠3,♣4,♥3,♠2,♥4,(2) Two pairs
♦K,♥J,♠K,♣J,♥4,(2) Two pairs
♦K,♥J,♠K,♣J,♠10,(2) Two pairs
♦K,♥J,♠K,♣8,♠8,(2) Two pairs
♠3,♣4,♥3,♥8,♥4,(2) Two pairs
♠3,♣4,♦A,♥3,♥4,(2) Two pairs
♠3,♣4,♠9,♥3,♥4,(2) Two pairs
♠3,♠8,♥3,♥8,♠10,(2) Two pairs
♠3,♠8,♥3,♥8,♥4,(2) Two pairs
♠3,♠8,♥3,♥8,♠2,(2) Two pairs
♠3,♠8,♦A,♥3,♥8,(2) Two pairs
♦K,♥J,♠K,♣8,♥8,(2) Two pairs
♠3,♠8,♠9,♥3,♥8,(2) Two pairs
♠3,♠8,♣4,♥8,♥4,(2) Two pairs
♣J,♣8,♣4,♥8,♥4,(2) Two pairs
♠3,♠8,♣4,♥3,♥4,(2) Two pairs
♠3,♠8,♣4,♥3,♥8,(2) Two pairs
♠3,♣8,♥3,♥8,♠10,(2) Two pairs
♠3,♣8,♥3,♥8,♥4,(2) Two pairs
♠3,♣8,♥3,♥8,♠2,(2) Two pairs
♠3,♣8,♦A,♥3,♥8,(2) Two pairs
♠3,♣8,♠9,♥3,♥8,(2) Two pairs
♠3,♣8,♣4,♥8,♥4,(2) Two pairs
♠3,♣8,♣4,♥3,♥4,(2) Two pairs
♠3,♣8,♣4,♥3,♥8,(2) Two pairs
♦K,♥J,♠K,♠8,♥8,(2) Two pairs
♦K,♥J,♠K,♣4,♥4,(2) Two pairs
♦K,♥J,♣J,♣8,♠8,(2) Two pairs
♠3,♣8,♠8,♥3,♠10,(2) Two pairs
♠3,♣8,♠8,♥3,♥4,(2) Two pairs
♠3,♣8,♠8,♥3,♠2,(2) Two pairs
♠3,♣4,♥3,♥4,♠10,(2) Two pairs
♦K,♥J,♣J,♣8,♥8,(2) Two pairs
♠3,♣8,♠8,♦A,♥3,(2) Two pairs
♦K,♥J,♣J,♠8,♥8,(2) Two pairs
♠3,♣8,♠8,♠9,♥3,(2) Two pairs
♠3,♣8,♠8,♣4,♥4,(2) Two pairs
♦K,♥J,♣J,♣4,♥4,(2) Two pairs
♠3,♣8,♠8,♣4,♥3,(2) Two pairs
♠3,♣J,♣4,♥3,♥4,(2) Two pairs
♣J,♠8,♣4,♥8,♥4,(2) Two pairs
♠3,♣J,♠8,♥3,♥8,(2) Two pairs
♠3,♣J,♣8,♥3,♥8,(2) Two pairs
♦K,♠3,♠K,♣J,♥3,(2) Two pairs
♠3,♣J,♣8,♠8,♥3,(2) Two pairs
♦K,♠3,♠K,♣8,♠8,(2) Two pairs
♠3,♠K,♣4,♥3,♥4,(2) Two pairs
♦K,♠3,♠K,♣8,♥3,(2) Two pairs
♠3,♠K,♠8,♥3,♥8,(2) Two pairs
♦K,♠3,♠K,♣8,♥8,(2) Two pairs
♦K,♠3,♠K,♠8,♥3,(2) Two pairs
♠3,♠K,♣8,♥3,♥8,(2) Two pairs
♦K,♠3,♠K,♠8,♥8,(2) Two pairs
♠3,♠K,♣8,♠8,♥3,(2) Two pairs
♥J,♠8,♣4,♥8,♥4,(2) Two pairs
♥J,♣8,♣4,♥8,♥4,(2) Two pairs
♦K,♠3,♠K,♣4,♥3,(2) Two pairs
♦K,♠3,♠K,♣4,♥4,(2) Two pairs
♦K,♠3,♠K,♠9,♥3,(2) Two pairs
♦K,♠3,♠K,♦A,♥3,(2) Two pairs
♦K,♠3,♠K,♥3,♥8,(2) Two pairs
♦K,♠3,♠K,♥3,♠2,(2) Two pairs
♦K,♠3,♠K,♥3,♥4,(2) Two pairs
♦K,♠3,♠K,♥3,♠10,(2) Two pairs
♥J,♣J,♣4,♥4,♠10,(2) Two pairs
♥J,♣J,♣4,♠2,♥4,(2) Two pairs
♥J,♣J,♣4,♥8,♥4,(2) Two pairs
♥J,♣J,♣4,♥3,♥4,(2) Two pairs
♥J,♣J,♣4,♦A,♥4,(2) Two pairs
♥J,♣J,♣4,♠9,♥4,(2) Two pairs
♥J,♣J,♠8,♥8,♠10,(2) Two pairs
♥J,♣J,♠8,♥8,♥4,(2) Two pairs
♥J,♣J,♠8,♥8,♠2,(2) Two pairs
♥J,♣J,♠8,♦A,♥8,(2) Two pairs
♥J,♣J,♠8,♠9,♥8,(2) Two pairs
♥J,♣J,♠8,♣4,♥4,(2) Two pairs
♦K,♠3,♣8,♠8,♥3,(2) Two pairs
♥J,♣J,♠8,♣4,♥8,(2) Two pairs
♣8,♠8,♣4,♠9,♥4,(2) Two pairs
♥J,♣J,♣8,♥8,♠10,(2) Two pairs
♥J,♣J,♣8,♥8,♥4,(2) Two pairs
♦K,♠3,♣8,♥3,♥8,(2) Two pairs
♥J,♣J,♣8,♥8,♠2,(2) Two pairs
♣8,♠8,♣4,♦A,♥4,(2) Two pairs
♥J,♣J,♣8,♥3,♥8,(2) Two pairs
♦K,♠3,♠8,♥3,♥8,(2) Two pairs
♥J,♣J,♣8,♦A,♥8,(2) Two pairs
♣8,♠8,♣4,♥3,♥4,(2) Two pairs
♥J,♣J,♣8,♠9,♥8,(2) Two pairs
♦K,♠3,♣4,♥3,♥4,(2) Two pairs
♠8,♣4,♥8,♥4,♠10,(2) Two pairs
♦K,♠K,♣J,♣8,♠8,(2) Two pairs
♣8,♠8,♣4,♠2,♥4,(2) Two pairs
♥J,♣J,♣8,♣4,♥4,(2) Two pairs
♣8,♠8,♣4,♥4,♠10,(2) Two pairs
♥J,♣J,♣8,♣4,♥8,(2) Two pairs
♠8,♣4,♥8,♠2,♥4,(2) Two pairs
