♥A,♣5,♣9,♣3,♦9,(1) One pair
♥A,♣9,♦7,♣3,♠9,(1) One pair
♥A,♣9,♦7,♣7,♥Q,(1) One pair
♥A,♣9,♦7,♣7,♦3,(1) One pair
♥A,♣9,♦7,♣7,♥10,(1) One pair
♣9,♣7,♦3,♥10,♠9,(1) One pair
♣9,♣7,♦3,♥10,♦9,(1) One pair
♥A,♣9,♦7,♣7,♠6,(1) One pair
♥A,♣9,♦7,♥Q,♦9,(1) One pair
♥A,♣9,♦7,♥Q,♠9,(1) One pair
♥A,♣9,♦7,♦3,♦9,(1) One pair
♥A,♣9,♦7,♦3,♠9,(1) One pair
♥A,♣9,♦7,♥10,♦9,(1) One pair
♥A,♣9,♦7,♥10,♠9,(1) One pair
♣9,♣7,♥Q,♠9,♠6,(1) One pair
♥A,♣9,♦7,♦9,♠6,(1) One pair
♥A,♣9,♦7,♠9,♠6,(1) One pair
♥A,♣9,♦K,♣3,♦3,(1) One pair
♥A,♣9,♦K,♣3,♦9,(1) One pair
♥A,♣9,♦K,♣3,♠9,(1) One pair
♥A,♣9,♦K,♣7,♦9,(1) One pair
♥A,♣9,♦K,♣7,♠9,(1) One pair
♥A,♣9,♦K,♥Q,♦9,(1) One pair
♥A,♣9,♦K,♥Q,♠9,(1) One pair
♥A,♣9,♦K,♦3,♦9,(1) One pair
♥A,♣9,♦K,♦3,♠9,(1) One pair
♥A,♣9,♦K,♥10,♦9,(1) One pair
♥A,♣9,♦K,♥10,♠9,(1) One pair
♣9,♣7,♥Q,♦9,♠6,(1) One pair
♥A,♣9,♦K,♦9,♠6,(1) One pair
♥A,♣9,♦K,♠9,♠6,(1) One pair
♥A,♣9,♣3,♣7,♦3,(1) One pair
♥A,♣9,♣3,♣7,♦9,(1) One pair
♥A,♣9,♣3,♣7,♠9,(1) One pair
♥A,♣9,♣3,♥Q,♦3,(1) One pair
♥A,♣9,♣3,♥Q,♦9,(1) One pair
♥A,♣9,♣3,♥Q,♠9,(1) One pair
♥A,♣9,♣3,♦3,♥10,(1) One pair
♣9,♣7,♥Q,♥10,♠9,(1) One pair
♣9,♣7,♥Q,♥10,♦9,(1) One pair
♥A,♣9,♣3,♦3,♠6,(1) One pair
♥A,♣9,♣3,♥10,♦9,(1) One pair
♥A,♣9,♣3,♥10,♠9,(1) One pair
♣9,♣7,♥Q,♦3,♠9,(1) One pair
♥A,♣9,♣3,♦9,♠6,(1) One pair
♥A,♣9,♣3,♠9,♠6,(1) One pair
♥A,♣9,♣7,♥Q,♦9,(1) One pair
♥A,♣9,♣7,♥Q,♠9,(1) One pair
♥A,♣9,♣7,♦3,♦9,(1) One pair
♥A,♣9,♣7,♦3,♠9,(1) One pair
♥A,♣9,♣7,♥10,♦9,(1) One pair
♥A,♣9,♣7,♥10,♠9,(1) One pair
♣9,♣7,♥Q,♦3,♦9,(1) One pair
♥A,♣9,♣7,♦9,♠6,(1) One pair
♥A,♣9,♣7,♠9,♠6,(1) One pair
♥A,♣9,♥Q,♦3,♦9,(1) One pair
♥A,♣9,♥Q,♦3,♠9,(1) One pair
♥A,♣9,♥Q,♥10,♦9,(1) One pair
♥A,♣9,♥Q,♥10,♠9,(1) One pair
♣9,♣3,♥10,♠9,♠6,(1) One pair
♥A,♣9,♥Q,♦9,♠6,(1) One pair
♥A,♣9,♥Q,♠9,♠6,(1) One pair
♥A,♣9,♦3,♥10,♦9,(1) One pair
♥A,♣9,♦3,♥10,♠9,(1) One pair
♣9,♣3,♥10,♦9,♠6,(1) One pair
♥A,♣9,♦3,♦9,♠6,(1) One pair
♥A,♣9,♦3,♠9,♠6,(1) One pair
♣9,♣3,♦3,♥10,♠6,(1) One pair
♥A,♣9,♥10,♦9,♠6,(1) One pair
♥A,♣9,♥10,♠9,♠6,(1) One pair
♣9,♣3,♥Q,♠9,♠6,(1) One pair
♥A,♦7,♦K,♣3,♣7,(1) One pair
♥A,♦7,♦K,♣3,♦3,(1) One pair
♥A,♦7,♦K,♣7,♥Q,(1) One pair
♥A,♦7,♦K,♣7,♦3,(1) One pair
♥A,♦7,♦K,♣7,♥10,(1) One pair
♥A,♦7,♦K,♣7,♦9,(1) One pair
♥A,♦7,♦K,♣7,♠9,(1) One pair
♥A,♦7,♦K,♣7,♠6,(1) One pair
♥A,♦7,♦K,♦9,♠9,(1) One pair
♥A,♦7,♣3,♣7,♥Q,(1) One pair
♣9,♣3,♥Q,♦9,♠6,(1) One pair
♥A,♦7,♣3,♣7,♥10,(1) One pair
♥A,♦7,♣3,♣7,♦9,(1) One pair
♥A,♦7,♣3,♣7,♠9,(1) One pair
♥A,♦7,♣3,♣7,♠6,(1) One pair
♥A,♦7,♣3,♥Q,♦3,(1) One pair
♥A,♦7,♣3,♦3,♥10,(1) One pair
♥A,♦7,♣3,♦3,♦9,(1) One pair
♥A,♦7,♣3,♦3,♠9,(1) One pair
♥A,♦7,♣3,♦3,♠6,(1) One pair
♥A,♦7,♣3,♦9,♠9,(1) One pair
♥A,♦7,♣7,♥Q,♦3,(1) One pair
♥A,♦7,♣7,♥Q,♥10,(1) One pair
♥A,♦7,♣7,♥Q,♦9,(1) One pair
♥A,♦7,♣7,♥Q,♠9,(1) One pair
♥A,♦7,♣7,♥Q,♠6,(1) One pair
♥A,♦7,♣7,♦3,♥10,(1) One pair
♥A,♦7,♣7,♦3,♦9,(1) One pair
♥A,♦7,♣7,♦3,♠9,(1) One pair
♥A,♦7,♣7,♦3,♠6,(1) One pair
♥A,♦7,♣7,♥10,♦9,(1) One pair
♥A,♦7,♣7,♥10,♠9,(1) One pair
♥A,♦7,♣7,♥10,♠6,(1) One pair
♣9,♣3,♥Q,♥10,♠9,(1) One pair
♥A,♦7,♣7,♦9,♠6,(1) One pair
♥A,♦7,♣7,♠9,♠6,(1) One pair
♥A,♦7,♥Q,♦9,♠9,(1) One pair
♥A,♦7,♦3,♦9,♠9,(1) One pair
♥A,♦7,♥10,♦9,♠9,(1) One pair
♥A,♦7,♦9,♠9,♠6,(1) One pair
♥A,♦K,♣3,♣7,♦3,(1) One pair
♥A,♦K,♣3,♥Q,♦3,(1) One pair
♥A,♦K,♣3,♦3,♥10,(1) One pair
♥A,♦K,♣3,♦3,♦9,(1) One pair
♥A,♦K,♣3,♦3,♠9,(1) One pair
♥A,♦K,♣3,♦3,♠6,(1) One pair
♥A,♦K,♣3,♦9,♠9,(1) One pair
♥A,♦K,♣7,♦9,♠9,(1) One pair
♥A,♦K,♥Q,♦9,♠9,(1) One pair
♥A,♦K,♦3,♦9,♠9,(1) One pair
♥A,♦K,♥10,♦9,♠9,(1) One pair
♥A,♦K,♦9,♠9,♠6,(1) One pair
♥A,♣3,♣7,♥Q,♦3,(1) One pair
♥A,♣3,♣7,♦3,♥10,(1) One pair
♥A,♣3,♣7,♦3,♦9,(1) One pair
♥A,♣3,♣7,♦3,♠9,(1) One pair
♥A,♣3,♣7,♦3,♠6,(1) One pair
♥A,♣3,♣7,♦9,♠9,(1) One pair
♥A,♣3,♥Q,♦3,♥10,(1) One pair
♥A,♣3,♥Q,♦3,♦9,(1) One pair
♥A,♣3,♥Q,♦3,♠9,(1) One pair
♥A,♣3,♥Q,♦3,♠6,(1) One pair
♥A,♣3,♥Q,♦9,♠9,(1) One pair
♥A,♣3,♦3,♥10,♦9,(1) One pair
♥A,♣3,♦3,♥10,♠9,(1) One pair
♥A,♣3,♦3,♥10,♠6,(1) One pair
♣9,♣3,♥Q,♥10,♦9,(1) One pair
♥A,♣3,♦3,♦9,♠6,(1) One pair
♥A,♣3,♦3,♠9,♠6,(1) One pair
♥A,♣3,♥10,♦9,♠9,(1) One pair
♥A,♣3,♦9,♠9,♠6,(1) One pair
♥A,♣7,♥Q,♦9,♠9,(1) One pair
♥A,♣7,♦3,♦9,♠9,(1) One pair
♥A,♣7,♥10,♦9,♠9,(1) One pair
♥A,♣7,♦9,♠9,♠6,(1) One pair
♥A,♥Q,♦3,♦9,♠9,(1) One pair
♥A,♥Q,♥10,♦9,♠9,(1) One pair
♥A,♥Q,♦9,♠9,♠6,(1) One pair
♥A,♦3,♥10,♦9,♠9,(1) One pair
♥A,♦3,♦9,♠9,♠6,(1) One pair
♥A,♥10,♦9,♠9,♠6,(1) One pair
♠7,♥J,♣5,♣9,♦7,(1) One pair
♠7,♥J,♣5,♣9,♣7,(1) One pair
♠7,♥J,♣5,♣9,♦9,(1) One pair
♠7,♥J,♣5,♣9,♠9,(1) One pair
♠7,♥J,♣5,♦7,♦K,(1) One pair
♠7,♥J,♣5,♦7,♣3,(1) One pair
♣9,♣3,♥Q,♦3,♠6,(1) One pair
♠7,♥J,♣5,♦7,♥Q,(1) One pair
♠7,♥J,♣5,♦7,♦3,(1) One pair
♠7,♥J,♣5,♦7,♥10,(1) One pair
♠7,♥J,♣5,♦7,♦9,(1) One pair
♠7,♥J,♣5,♦7,♠9,(1) One pair
♠7,♥J,♣5,♦7,♠6,(1) One pair
♠7,♥J,♣5,♦K,♣7,(1) One pair
♠7,♥J,♣5,♣3,♣7,(1) One pair
♠7,♥J,♣5,♣3,♦3,(1) One pair
♠7,♥J,♣5,♣7,♥Q,(1) One pair
♠7,♥J,♣5,♣7,♦3,(1) One pair
♠7,♥J,♣5,♣7,♥10,(1) One pair
♠7,♥J,♣5,♣7,♦9,(1) One pair
♠7,♥J,♣5,♣7,♠9,(1) One pair
♠7,♥J,♣5,♣7,♠6,(1) One pair
♠7,♥J,♣5,♦9,♠9,(1) One pair
♠7,♥J,♣9,♦7,♦K,(1) One pair
♠7,♥J,♣9,♦7,♣3,(1) One pair
♣9,♣3,♥Q,♦3,♥10,(1) One pair
♠7,♥J,♣9,♦7,♥Q,(1) One pair
♠7,♥J,♣9,♦7,♦3,(1) One pair
♠7,♥J,♣9,♦7,♥10,(1) One pair
♣9,♣3,♣7,♠9,♠6,(1) One pair
♣9,♣3,♣7,♦9,♠6,(1) One pair
♠7,♥J,♣9,♦7,♠6,(1) One pair
♠7,♥J,♣9,♦K,♣7,(1) One pair
♠7,♥J,♣9,♦K,♦9,(1) One pair
♠7,♥J,♣9,♦K,♠9,(1) One pair
♠7,♥J,♣9,♣3,♣7,(1) One pair
♠7,♥J,♣9,♣3,♦3,(1) One pair
♠7,♥J,♣9,♣3,♦9,(1) One pair
♠7,♥J,♣9,♣3,♠9,(1) One pair
♠7,♥J,♣9,♣7,♥Q,(1) One pair
♠7,♥J,♣9,♣7,♦3,(1) One pair
♠7,♥J,♣9,♣7,♥10,(1) One pair
♣9,♣3,♣7,♥10,♠9,(1) One pair
♣9,♣3,♣7,♥10,♦9,(1) One pair
♠7,♥J,♣9,♣7,♠6,(1) One pair
♠7,♥J,♣9,♥Q,♦9,(1) One pair
♠7,♥J,♣9,♥Q,♠9,(1) One pair
♠7,♥J,♣9,♦3,♦9,(1) One pair
♠7,♥J,♣9,♦3,♠9,(1) One pair
♠7,♥J,♣9,♥10,♦9,(1) One pair
♠7,♥J,♣9,♥10,♠9,(1) One pair
♣9,♣3,♣7,♦3,♠6,(1) One pair
♠7,♥J,♣9,♦9,♠6,(1) One pair
♠7,♥J,♣9,♠9,♠6,(1) One pair
♠7,♥J,♦7,♦K,♣3,(1) One pair
♣9,♣3,♣7,♦3,♥10,(1) One pair
♠7,♥J,♦7,♦K,♥Q,(1) One pair
♠7,♥J,♦7,♦K,♦3,(1) One pair
♠7,♥J,♦7,♦K,♥10,(1) One pair
♠7,♥J,♦7,♦K,♦9,(1) One pair
♠7,♥J,♦7,♦K,♠9,(1) One pair
♠7,♥J,♦7,♦K,♠6,(1) One pair
♣9,♣3,♣7,♥Q,♠9,(1) One pair
♠7,♥J,♦7,♣3,♥Q,(1) One pair
♣9,♣3,♣7,♥Q,♦9,(1) One pair
♠7,♥J,♦7,♣3,♥10,(1) One pair
♠7,♥J,♦7,♣3,♦9,(1) One pair
♠7,♥J,♦7,♣3,♠9,(1) One pair
♠7,♥J,♦7,♣3,♠6,(1) One pair
♣9,♣3,♣7,♥Q,♦3,(1) One pair
♣9,♦K,♥10,♠9,♠6,(1) One pair
♣9,♦K,♥10,♦9,♠6,(1) One pair
♣9,♦K,♦3,♠9,♠6,(1) One pair
♣9,♦K,♦3,♦9,♠6,(1) One pair
♣9,♦K,♦3,♥10,♠9,(1) One pair
♠7,♥J,♦7,♥Q,♦3,(1) One pair
♠7,♥J,♦7,♥Q,♥10,(1) One pair
♠7,♥J,♦7,♥Q,♦9,(1) One pair
♠7,♥J,♦7,♥Q,♠9,(1) One pair
♠7,♥J,♦7,♥Q,♠6,(1) One pair
♠7,♥J,♦7,♦3,♥10,(1) One pair
♠7,♥J,♦7,♦3,♦9,(1) One pair
♠7,♥J,♦7,♦3,♠9,(1) One pair
♠7,♥J,♦7,♦3,♠6,(1) One pair
♠7,♥J,♦7,♥10,♦9,(1) One pair
♠7,♥J,♦7,♥10,♠9,(1) One pair
♠7,♥J,♦7,♥10,♠6,(1) One pair
♣9,♦K,♦3,♥10,♦9,(1) One pair
♠7,♥J,♦7,♦9,♠6,(1) One pair
♠7,♥J,♦7,♠9,♠6,(1) One pair
♠7,♥J,♦K,♣3,♣7,(1) One pair
♠7,♥J,♦K,♣3,♦3,(1) One pair
♠7,♥J,♦K,♣7,♥Q,(1) One pair
♠7,♥J,♦K,♣7,♦3,(1) One pair
♠7,♥J,♦K,♣7,♥10,(1) One pair
♠7,♥J,♦K,♣7,♦9,(1) One pair
♠7,♥J,♦K,♣7,♠9,(1) One pair
♠7,♥J,♦K,♣7,♠6,(1) One pair
♠7,♥J,♦K,♦9,♠9,(1) One pair
♠7,♥J,♣3,♣7,♥Q,(1) One pair
♣9,♦K,♥Q,♠9,♠6,(1) One pair
♠7,♥J,♣3,♣7,♥10,(1) One pair
♠7,♥J,♣3,♣7,♦9,(1) One pair
♠7,♥J,♣3,♣7,♠9,(1) One pair
♠7,♥J,♣3,♣7,♠6,(1) One pair
♠7,♥J,♣3,♥Q,♦3,(1) One pair
♠7,♥J,♣3,♦3,♥10,(1) One pair
♠7,♥J,♣3,♦3,♦9,(1) One pair
♠7,♥J,♣3,♦3,♠9,(1) One pair
♠7,♥J,♣3,♦3,♠6,(1) One pair
♠7,♥J,♣3,♦9,♠9,(1) One pair
♠7,♥J,♣7,♥Q,♦3,(1) One pair
♠7,♥J,♣7,♥Q,♥10,(1) One pair
♠7,♥J,♣7,♥Q,♦9,(1) One pair
♠7,♥J,♣7,♥Q,♠9,(1) One pair
♠7,♥J,♣7,♥Q,♠6,(1) One pair
♠7,♥J,♣7,♦3,♥10,(1) One pair
♠7,♥J,♣7,♦3,♦9,(1) One pair
♠7,♥J,♣7,♦3,♠9,(1) One pair
♠7,♥J,♣7,♦3,♠6,(1) One pair
♠7,♥J,♣7,♥10,♦9,(1) One pair
♠7,♥J,♣7,♥10,♠9,(1) One pair
♠7,♥J,♣7,♥10,♠6,(1) One pair
♣9,♦K,♥Q,♦9,♠6,(1) One pair
♠7,♥J,♣7,♦9,♠6,(1) One pair
♠7,♥J,♣7,♠9,♠6,(1) One pair
♠7,♥J,♥Q,♦9,♠9,(1) One pair
♠7,♥J,♦3,♦9,♠9,(1) One pair
♠7,♥J,♥10,♦9,♠9,(1) One pair
♠7,♥J,♦9,♠9,♠6,(1) One pair
♠7,♣5,♣9,♦7,♦K,(1) One pair
♠7,♣5,♣9,♦7,♣3,(1) One pair
♣9,♦K,♥Q,♥10,♠9,(1) One pair
♠7,♣5,♣9,♦7,♥Q,(1) One pair
♠7,♣5,♣9,♦7,♦3,(1) One pair
♠7,♣5,♣9,♦7,♥10,(1) One pair
♣9,♦K,♥Q,♥10,♦9,(1) One pair
♣9,♦K,♥Q,♦3,♠9,(1) One pair
♠7,♣5,♣9,♦7,♠6,(1) One pair
♠7,♣5,♣9,♦K,♣7,(1) One pair
♠7,♣5,♣9,♦K,♦9,(1) One pair
♠7,♣5,♣9,♦K,♠9,(1) One pair
♠7,♣5,♣9,♣3,♣7,(1) One pair
♠7,♣5,♣9,♣3,♦3,(1) One pair
♠7,♣5,♣9,♣3,♦9,(1) One pair
♠7,♣5,♣9,♣3,♠9,(1) One pair
♠7,♣5,♣9,♣7,♥Q,(1) One pair
♠7,♣5,♣9,♣7,♦3,(1) One pair
♠7,♣5,♣9,♣7,♥10,(1) One pair
♣9,♦K,♥Q,♦3,♦9,(1) One pair
♣9,♦K,♣7,♠9,♠6,(1) One pair
♠7,♣5,♣9,♣7,♠6,(1) One pair
♠7,♣5,♣9,♥Q,♦9,(1) One pair
♠7,♣5,♣9,♥Q,♠9,(1) One pair
♠7,♣5,♣9,♦3,♦9,(1) One pair
♠7,♣5,♣9,♦3,♠9,(1) One pair
♠7,♣5,♣9,♥10,♦9,(1) One pair
♠7,♣5,♣9,♥10,♠9,(1) One pair
♣9,♦K,♣7,♦9,♠6,(1) One pair
♠7,♣5,♣9,♦9,♠6,(1) One pair
♣5,♦7,♦K,♣3,♦3,(1) One pair
♠7,♣5,♦7,♦K,♣3,(1) One pair
♣9,♦K,♣7,♥10,♠9,(1) One pair
♠7,♣5,♦7,♦K,♥Q,(1) One pair
♠7,♣5,♦7,♦K,♦3,(1) One pair
♠7,♣5,♦7,♦K,♥10,(1) One pair
♠7,♣5,♦7,♦K,♦9,(1) One pair
♠7,♣5,♦7,♦K,♠9,(1) One pair
♠7,♣5,♦7,♦K,♠6,(1) One pair
♣9,♦K,♣7,♥10,♦9,(1) One pair
♠7,♣5,♦7,♣3,♥Q,(1) One pair
♣9,♦K,♣7,♦3,♠9,(1) One pair
♠7,♣5,♦7,♣3,♥10,(1) One pair
♠7,♣5,♦7,♣3,♦9,(1) One pair
♠7,♣5,♦7,♣3,♠9,(1) One pair
♠7,♣5,♦7,♣3,♠6,(1) One pair
♣9,♦K,♣7,♦3,♦9,(1) One pair
♣9,♦K,♣7,♥Q,♠9,(1) One pair
♣9,♦K,♣7,♥Q,♦9,(1) One pair
♣9,♦K,♣3,♠9,♠6,(1) One pair
♣9,♦K,♣3,♦9,♠6,(1) One pair
♣9,♦K,♣3,♥10,♠9,(1) One pair
♠7,♣5,♦7,♥Q,♦3,(1) One pair
♠7,♣5,♦7,♥Q,♥10,(1) One pair
♠7,♣5,♦7,♥Q,♦9,(1) One pair
♠7,♣5,♦7,♥Q,♠9,(1) One pair
♠7,♣5,♦7,♥Q,♠6,(1) One pair
♠7,♣5,♦7,♦3,♥10,(1) One pair
♠7,♣5,♦7,♦3,♦9,(1) One pair
♠7,♣5,♦7,♦3,♠9,(1) One pair
♠7,♣5,♦7,♦3,♠6,(1) One pair
♠7,♣5,♦7,♥10,♦9,(1) One pair
♠7,♣5,♦7,♥10,♠9,(1) One pair
♠7,♣5,♦7,♥10,♠6,(1) One pair
♣9,♦K,♣3,♥10,♦9,(1) One pair
♠7,♣5,♦7,♦9,♠6,(1) One pair
♠7,♣5,♦7,♠9,♠6,(1) One pair
♠7,♣5,♦K,♣3,♣7,(1) One pair
♠7,♣5,♦K,♣3,♦3,(1) One pair
♠7,♣5,♦K,♣7,♥Q,(1) One pair
♠7,♣5,♦K,♣7,♦3,(1) One pair
♠7,♣5,♦K,♣7,♥10,(1) One pair
♠7,♣5,♦K,♣7,♦9,(1) One pair
♠7,♣5,♦K,♣7,♠9,(1) One pair
♠7,♣5,♦K,♣7,♠6,(1) One pair
♠7,♣5,♦K,♦9,♠9,(1) One pair
♠7,♣5,♣3,♣7,♥Q,(1) One pair
♣9,♦K,♣3,♦3,♠6,(1) One pair
♠7,♣5,♣3,♣7,♥10,(1) One pair
♠7,♣5,♣3,♣7,♦9,(1) One pair
♠7,♣5,♣3,♣7,♠9,(1) One pair
♠7,♣5,♣3,♣7,♠6,(1) One pair
♠7,♣5,♣3,♥Q,♦3,(1) One pair
♠7,♣5,♣3,♦3,♥10,(1) One pair
♠7,♣5,♣3,♦3,♦9,(1) One pair
♠7,♣5,♣3,♦3,♠9,(1) One pair
♠7,♣5,♣3,♦3,♠6,(1) One pair
♠7,♣5,♣3,♦9,♠9,(1) One pair
♠7,♣5,♣7,♥Q,♦3,(1) One pair
♠7,♣5,♣7,♥Q,♥10,(1) One pair
♠7,♣5,♣7,♥Q,♦9,(1) One pair
♠7,♣5,♣7,♥Q,♠9,(1) One pair
♠7,♣5,♣7,♥Q,♠6,(1) One pair
♠7,♣5,♣7,♦3,♥10,(1) One pair
♠7,♣5,♣7,♦3,♦9,(1) One pair
♠7,♣5,♣7,♦3,♠9,(1) One pair
♠7,♣5,♣7,♦3,♠6,(1) One pair
♠7,♣5,♣7,♥10,♦9,(1) One pair
♠7,♣5,♣7,♥10,♠9,(1) One pair
♠7,♣5,♣7,♥10,♠6,(1) One pair
♣9,♦K,♣3,♦3,♥10,(1) One pair
♠7,♣5,♣7,♦9,♠6,(1) One pair
♠7,♣5,♣7,♠9,♠6,(1) One pair
♠7,♣5,♥Q,♦9,♠9,(1) One pair
♠7,♣5,♦3,♦9,♠9,(1) One pair
♠7,♣5,♥10,♦9,♠9,(1) One pair
♠7,♣5,♦9,♠9,♠6,(1) One pair
♠7,♣9,♦7,♦K,♣3,(1) One pair
♣9,♦K,♣3,♥Q,♠9,(1) One pair
♠7,♣9,♦7,♦K,♥Q,(1) One pair
♠7,♣9,♦7,♦K,♦3,(1) One pair
♠7,♣9,♦7,♦K,♥10,(1) One pair
♣9,♦K,♣3,♥Q,♦9,(1) One pair
♣9,♦K,♣3,♥Q,♦3,(1) One pair
♠7,♣9,♦7,♦K,♠6,(1) One pair
♣9,♦K,♣3,♣7,♠9,(1) One pair
♠7,♣9,♦7,♣3,♥Q,(1) One pair
♣9,♦K,♣3,♣7,♦9,(1) One pair
♠7,♣9,♦7,♣3,♥10,(1) One pair
♣9,♦K,♣3,♣7,♦3,(1) One pair
♣9,♦7,♥10,♠9,♠6,(1) One pair
♠7,♣9,♦7,♣3,♠6,(1) One pair
♣9,♦7,♥10,♦9,♠6,(1) One pair
♣9,♦7,♦3,♠9,♠6,(1) One pair
♣9,♦7,♦3,♦9,♠6,(1) One pair
♣9,♦7,♦3,♥10,♠9,(1) One pair
♣9,♦7,♦3,♥10,♦9,(1) One pair
♣9,♦7,♥Q,♠9,♠6,(1) One pair
♠7,♣9,♦7,♥Q,♦3,(1) One pair
♠7,♣9,♦7,♥Q,♥10,(1) One pair
♣9,♦7,♥Q,♦9,♠6,(1) One pair
♣9,♦7,♥Q,♥10,♠9,(1) One pair
♠7,♣9,♦7,♥Q,♠6,(1) One pair
♠7,♣9,♦7,♦3,♥10,(1) One pair
♣9,♦7,♥Q,♥10,♦9,(1) One pair
♣9,♦7,♥Q,♦3,♠9,(1) One pair
♠7,♣9,♦7,♦3,♠6,(1) One pair
♣9,♦7,♥Q,♦3,♦9,(1) One pair
♣9,♦7,♣7,♥10,♠6,(1) One pair
♠7,♣9,♦7,♥10,♠6,(1) One pair
♣9,♦7,♣7,♦3,♠6,(1) One pair
♣9,♦7,♣7,♦3,♥10,(1) One pair
♣9,♦7,♣7,♥Q,♠6,(1) One pair
♠7,♣9,♦K,♣3,♣7,(1) One pair
♠7,♣9,♦K,♣3,♦3,(1) One pair
♠7,♣9,♦K,♣3,♦9,(1) One pair
♠7,♣9,♦K,♣3,♠9,(1) One pair
♠7,♣9,♦K,♣7,♥Q,(1) One pair
♠7,♣9,♦K,♣7,♦3,(1) One pair
♠7,♣9,♦K,♣7,♥10,(1) One pair
♣9,♦7,♣7,♥Q,♥10,(1) One pair
♣9,♦7,♣7,♥Q,♦3,(1) One pair
♠7,♣9,♦K,♣7,♠6,(1) One pair
♠7,♣9,♦K,♥Q,♦9,(1) One pair
♠7,♣9,♦K,♥Q,♠9,(1) One pair
♠7,♣9,♦K,♦3,♦9,(1) One pair
♠7,♣9,♦K,♦3,♠9,(1) One pair
♠7,♣9,♦K,♥10,♦9,(1) One pair
♠7,♣9,♦K,♥10,♠9,(1) One pair
♣9,♦7,♣3,♠9,♠6,(1) One pair
♠7,♣9,♦K,♦9,♠6,(1) One pair
♠7,♣9,♦K,♠9,♠6,(1) One pair
♠7,♣9,♣3,♣7,♥Q,(1) One pair
♣9,♦7,♣3,♦9,♠6,(1) One pair
♠7,♣9,♣3,♣7,♥10,(1) One pair
♣9,♦7,♣3,♥10,♠9,(1) One pair
♣9,♦7,♣3,♥10,♦9,(1) One pair
♠7,♣9,♣3,♣7,♠6,(1) One pair
♠7,♣9,♣3,♥Q,♦3,(1) One pair
♠7,♣9,♣3,♥Q,♦9,(1) One pair
♠7,♣9,♣3,♥Q,♠9,(1) One pair
♠7,♣9,♣3,♦3,♥10,(1) One pair
♣9,♦7,♣3,♦3,♠6,(1) One pair
♣9,♦7,♣3,♦3,♥10,(1) One pair
♠7,♣9,♣3,♦3,♠6,(1) One pair
♠7,♣9,♣3,♥10,♦9,(1) One pair
♠7,♣9,♣3,♥10,♠9,(1) One pair
♣9,♦7,♣3,♥Q,♠9,(1) One pair
♠7,♣9,♣3,♦9,♠6,(1) One pair
♠7,♣9,♣3,♠9,♠6,(1) One pair
♠7,♣9,♣7,♥Q,♦3,(1) One pair
♠7,♣9,♣7,♥Q,♥10,(1) One pair
♣9,♦7,♣3,♥Q,♦9,(1) One pair
♣9,♦7,♣3,♥Q,♦3,(1) One pair
♠7,♣9,♣7,♥Q,♠6,(1) One pair
♠7,♣9,♣7,♦3,♥10,(1) One pair
♣9,♦7,♣3,♣7,♠6,(1) One pair
♣9,♦7,♣3,♣7,♥10,(1) One pair
♠7,♣9,♣7,♦3,♠6,(1) One pair
♣9,♦7,♣3,♣7,♥Q,(1) One pair
♣9,♦7,♦K,♠9,♠6,(1) One pair
♠7,♣9,♣7,♥10,♠6,(1) One pair
♣9,♦7,♦K,♦9,♠6,(1) One pair
♣9,♦7,♦K,♥10,♠9,(1) One pair
♣9,♦7,♦K,♥10,♦9,(1) One pair
♠7,♣9,♥Q,♦3,♦9,(1) One pair
♠7,♣9,♥Q,♦3,♠9,(1) One pair
♠7,♣9,♥Q,♥10,♦9,(1) One pair
♠7,♣9,♥Q,♥10,♠9,(1) One pair
♣9,♦7,♦K,♦3,♠9,(1) One pair
♠7,♣9,♥Q,♦9,♠6,(1) One pair
♠7,♣9,♥Q,♠9,♠6,(1) One pair
♠7,♣9,♦3,♥10,♦9,(1) One pair
♠7,♣9,♦3,♥10,♠9,(1) One pair
♣9,♦7,♦K,♦3,♦9,(1) One pair
♠7,♣9,♦3,♦9,♠6,(1) One pair
♠7,♣9,♦3,♠9,♠6,(1) One pair
♣9,♦7,♦K,♥Q,♠9,(1) One pair
♠7,♣9,♥10,♦9,♠6,(1) One pair
♠7,♣9,♥10,♠9,♠6,(1) One pair
♣9,♦7,♦K,♥Q,♦9,(1) One pair
♣9,♦7,♦K,♣7,♠6,(1) One pair
♠7,♦7,♦K,♣3,♥Q,(1) One pair
♣9,♦7,♦K,♣7,♥10,(1) One pair
♠7,♦7,♦K,♣3,♥10,(1) One pair
♠7,♦7,♦K,♣3,♦9,(1) One pair
♠7,♦7,♦K,♣3,♠9,(1) One pair
♠7,♦7,♦K,♣3,♠6,(1) One pair
♣9,♦7,♦K,♣7,♦3,(1) One pair
♣9,♦7,♦K,♣7,♥Q,(1) One pair
♣9,♦7,♦K,♣3,♠9,(1) One pair
♣9,♦7,♦K,♣3,♦9,(1) One pair
♣9,♦7,♦K,♣3,♦3,(1) One pair
♣9,♦7,♦K,♣3,♣7,(1) One pair
♠7,♦7,♦K,♥Q,♦3,(1) One pair
♠7,♦7,♦K,♥Q,♥10,(1) One pair
♠7,♦7,♦K,♥Q,♦9,(1) One pair
♠7,♦7,♦K,♥Q,♠9,(1) One pair
♠7,♦7,♦K,♥Q,♠6,(1) One pair
♠7,♦7,♦K,♦3,♥10,(1) One pair
♠7,♦7,♦K,♦3,♦9,(1) One pair
